TICKET,CODIGO
3R PETROLEUMON,RRRP3
524 PARTICIPON,QVQP3B
ABC BRASILPN,ABCB4
ACO ALTONAON,EALT3
ACO ALTONAPN,EALT4
AERISON,AERI3
AES TIETE EON,TIET3
AES TIETE EPN,TIET4
AES TIETE EUNT N2,TIET11
AFLUENTE TON,AFLT3
AIRBNB,AIRB34
ALEF S/AON,ALEF3B
ALFA CONSORCON,BRGE3
ALFA CONSORCPNA,BRGE5
ALFA CONSORCPNB,BRGE6
ALFA CONSORCPNC,BRGE7
ALFA CONSORCPND,BRGE8
ALFA CONSORCPNE,BRGE11
ALFA CONSORCPNF,BRGE12
ALFA FINANCON,CRIV3
ALFA FINANCPN,CRIV4
ALFA HOLDINGON,RPAD3
ALFA HOLDINGPNA,RPAD5
ALFA HOLDINGPNB,RPAD6
ALFA INVESTON,BRIV3
ALFA INVESTPN,BRIV4
ALIANSCSONAEON,ALSO3
ALIPERTION,APTI3
ALIPERTIPN,APTI4
ALL NORTEON,FRRN3B
ALL NORTEPNA,FRRN5B
ALL NORTEPNB,FRRN6B
ALLIARON,AALR3
ALPARGATASON,ALPA3
ALPARGATASPN,ALPA4
ALPER S.A.ON,APER3
ALPHABET ,GOGL34
ALPHAVILLEON,AVLL3
ALUPARON,ALUP3
ALUPARPN,ALUP4
ALUPARUNT N2,ALUP11
AMAZONIAON,BAZA3
AMBEV S/AON,ABEV3
AMBIPARON,AMBP3
AMPLA ENERGON,CBEE3
ANIMAON,ANIM3
AREZZO COON,ARZZ3
ATMASAON,ATMP3
ATOMPARON,ATOM3
AURA 360ON,AURA33
AZEVEDOON,AZEV3
AZEVEDOPN,AZEV4
AZUL S.A.PN,AZUL4
B2W - COMPANON,BTOW3
B2W DIGITALON,BTOW3
B3ON,B3SA3
BAHEMAON,BAHI3
BANCO BMGPN,BMGB4
BANCO INTERON,BIDI3
BANCO INTERPN,BIDI4
BANCO INTERUNT,BIDI11
BANCO PANPN,BPAN4
BANESEON,BGIP3
BANESEPN,BGIP4
BANESTESON,BEES3
BANESTESPN,BEES4
BANPARAON,BPAR3
BANRISULON,BRSR3
BANRISULPNA,BRSR5
BANRISULPNB,BRSR6
BARDELLAON,BDLL3
BARDELLAPN,BDLL4
BATTISTELLAON,BTTL3
BAUMERON,BALM3
BAUMERPN,BALM4
BBMLOGISTICAON,BBML3
