TICKET,CODIGO
3M,MMMC34
3MDRN,MMMC34
3R PETROLEUMON,RRRP3
3TENTOSON,TTEN3
524 PARTICIPON,QVQP3B
AB INBEV,ABUD34
AB INBEVDRN,ABUD34
ABB LTD,A1BB34
ABB LTDDRN,A1BB34
ABBOTT,ABTT34
ABBOTTDRN,ABTT34
ABBVIE,ABBV34
ABBVIEDRN,ABBV34
ABC BRASILPN,ABCB4
ABIOMED INC,A1BM34
ABIOMED INCDRN,A1BM34
ACCENTURE,ACNB34
ACCENTUREDRN,ACNB34
ACO ALTONAON,EALT3
ACO ALTONAPN,EALT4
ACTIVISION,ATVI34
ACTIVISIONDRN,ATVI34
ADOBE INC,ADBE34
ADOBE INCDRN,ADBE34
ADVANCE AUTO,A1AP34
ADVANCE AUTODRN,A1AP34
ADVANCED MIC,A1MD34
ADVANCED MICDRN,A1MD34
ADVANCED-DHON,ADHM3
AEGON NV,A1EG34
AEGON NVDRN,A1EG34
AERISON,AERI3
AES BRASILON,AESB3
AES CORP,A1ES34
AES CORPDRN,A1ES34
AES TIETE EON,TIET3
AES TIETE EPN,TIET4
AES TIETE EUNT,TIET11
Aesoperacoes ON,AESO3
AFLUENTE TON,AFLT3
AGRIBRASILON,GRAO3
AGROGALAXYON,AGXY3
AIRBNB,AIRB34
AKAMAI TECHN,A1KA34
AKAMAI TECHNDRN,A1KA34
ALBEMARLE CO,A1LB34
ALBEMARLE CODRN,A1LB34
ALEF S/AON,ALEF3B
ALEXANDRIA R,A1RE34
ALEXANDRIA RDRN,A1RE34
ALFA CONSORCON,BRGE3
ALFA CONSORCPNA,BRGE5
ALFA CONSORCPNB,BRGE6
ALFA CONSORCPNC,BRGE7
ALFA CONSORCPND,BRGE8
ALFA CONSORCPNE,BRGE11
ALFA CONSORCPNF,BRGE12
ALFA FINANCON,CRIV3
ALFA FINANCPN,CRIV4
ALFA HOLDINGON,RPAD3
ALFA HOLDINGPNA,RPAD5
ALFA HOLDINGPNB,RPAD6
ALFA INVESTON,BRIV3
ALFA INVESTPN,BRIV4
ALIANSCSONAEON,ALSO3
ALIBABAGR,BABA34
ALIBABAGRDRN,BABA34
Align Techno DRN,A1LG34
Align Techno,A1LG34
ALIPERTION,APTI3
ALIPERTIPN,APTI4
ALL NORTEON,FRRN3B
ALL NORTEPNA,FRRN5B
ALL NORTEPNB,FRRN6B
ALLIANCE DAT,A1LL34
ALLIANCE DATDRN,A1LL34
ALLIARON,AALR3
ALLIEDON,ALLD3
ALNYLAM PHAR,A1LN34
ALNYLAM PHARDRN,A1LN34
ALPARGATASON,ALPA3
ALPARGATASPN,ALPA4
ALPER S.A.ON,APER3
ALPHABET A,GOGL34
ALPHABET C,GOGL35
ALPHABET,GOGL34
ALPHABETDRN A,GOGL34
ALPHABETDRN C,GOGL35
ALPHAVILLEON,AVLL3
ALTERYX INC,A1YX34
ALTERYX INCDRN,A1YX34
ALTRIA GROUP,MOOO34
ALTRIA GROUPDRN,MOOO34
ALUPARON,ALUP3
ALUPARPN,ALUP4
ALUPARUNT,ALUP11
AMAZON,AMZO34
AMAZONDRN,AMZO34
AMAZONIAON,BAZA3
AMBEV S/AON,ABEV3
AMBIPARON,AMBP3
Amcor Plc DRN,A1CR34
Amcor Plc,A1CR34
AMERICAMOVIL,A1MX34
AMERICAMOVILDRN,A1MX34
