Codigo,Corretora,Nome,ordem
3,XP INVESTIMENTOS CCTVM S/A,XP,0
3,"XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",XP,0
3,"XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES",XP,0
386,RICO INVESTIMENTOS - GRUPO XP,RICO,1
90,EASYNVEST - TITULO CV S.A.,EASYNVEST,1
308,CLEAR CORRETORA - GRUPO XP,CLEAR,1
85,BTG PACTUAL CTVM S.A.,BTG,1
72,BRADESCO S/A CTVM,BRADESCO,1
39,AGORA CTVM S/A,AGORA,1
39,AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A,AGORA,1
3701,ORAMA DTVM S.A.,ORAMA,1
735,ICAP DO BRASIL CTVM LTDA,ICAP,1
120,GENIAL INSTITUCIONAL CCTVM S.A,GENIAL,2
173,GENIAL INVESTIMENTOS CVM S.A.,GENIAL,2
93,NOVA FUTURA CTVM LTDA,NOVA FUTURA,2
107,TERRA INVESTIMENTOS DTVM LTDA,TERRA,3
6003,C6 CTVM LTDA,C6,3
1982,MODAL DTVM LTDA,MODAL,3
683,BANCO MODAL,MODAL,3
4090,TORO CTVM LTDA.,TORO,3
1099,INTER DTVM LTDA,INTER,3
15,GUIDE INVESTIMENTOS S.A. CV,GUIDE,3
114,ITAU CV S/A,ITAU,4
820,BB BANCO DE INVESTIMENTO S/A,BB,4
713,BB GESTAO DE RECURSOS DTVM S/A,BB,4
147,ATIVA INVESTIMENTOS S.A. CTCV,ATIVA,4
1618,IDEAL CTVM SA,IDEAL,5
172,BANRISUL S/A CVMC,BANRISUL,5
442,BANCO OURINVEST,OURINVEST,5
359,BANCO DAYCOVAL,DAYCOVAL,5
1116,BANCO CITIBANK,CITIBANK,5
251,BANCO BNP PARIBAS BRASIL S/A,BNP,5
4,ALFA CCVM S.A.,ALFA,5
979,ADVALOR DTVM LTDA,ADVALOR,
226,AMARIL FRANKLIN CTV LTDA.,AMARIL,
4002,BANCO ANDBANK (BRASIL) S.A.,ANDBANK,
3112,BANESTES DTVM S/A,BANESTES,
2197,BCO FIBRA,FIBRA,
122,BGC LIQUIDEZ DTVM,BGC,
18,BOCOM BBM CCVM S/A,BOCOM,
4015,BS2 DTVM S/A,BS2,
1570,CAIXA ECONOMICA FEDERAL,CEF,
77,CITIGROUP GMB CCTVM S.A.,CITIGROUP,
88,CM CAPITAL MARKETS CCTVM LTDA,CM CAPITAL,
234,CODEPE CV E CAMBIO S/A,CODEPE,
74,COINVALORES CCVM LTDA.,COINVALORES,
186,CORRETORA GERAL DE VC LTDA,GERAL,
45,CREDIT SUISSE BRASIL S.A. CTVM,CREDIT SUISSE,
133,DIBRAN DTVM LTDA,DIBRAN,
711,DILLON S.A. DTVM,DILLON,
174,ELITE CCVM LTDA.,ELITE,
131,FATOR S.A. CV,FATOR,
238,GOLDMAN SACHS DO BRASIL CTVM,GOLDMAN,
115,H.COMMCOR DTVM LTDA,H.COMMCOR,
41,ING CCT S/A,ING,
1130,INTL FCSTONE DTVM LTDA.,INTL,
16,J. P. MORGAN CCVM S.A.,J. P. MORGAN,
33,LEROSA S.A. CVC,LEROSA,
2640,LLA DTVM LTDA,LLA,
1,MAGLIANO S.A. CCVM,MAGLIANO,
83,MAXIMA S/A CTVM,MAXIMA,
106,MERC. DO BRASIL COR. S.A. CTVM,MERC.,
13,MERRILL LYNCH S/A CTVM,MERRILL,
262,MIRAE ASSET WEALTH MANAGEMENT,MIRAE,
40,MORGAN STANLEY CTVM S/A,MORGAN,
181,MUNDINVEST S.A. CCVM,MUNDINVEST,
23,NECTON INVESTIMENTOS S.A. CVMC,NECTON,
63,NOVINVEST CVM LTDA.,NOVINVEST,
2379,ORLA DTVM S/A,ORLA,
1106,OURINVEST DTVM S.A.,Ourinvest,
129,PLANNER CV S.A,PLANNER,
2492,POSITIVA CTVM S/A,POSITIVA,
1089,RB CAPITAL INVESTIMENTOS DTVM,RB CAPITAL,
92,RENASCENCA DTVM LTDA.,RENASCENCA,
3371,RIO BRAVO INVEST S.A. DTVM,RIO BRAVO,
3762,RJI CTVM LTDA,RJI,
59,SAFRA CVC LTDA.,SAFRA,
27,SANTANDER CCVM S/A,SANTANDER,
2570,SANTANDER SECURITIES SERVICES,SANTANDER,
191,SENSO CCVM S.A.,SENSO,
187,SITA SCCVM S.A.,SITA,
110,SLW CVC LTDA.,SLW,
58,SOCOPA SC PAULISTA S.A.,SOCOPA,
177,SOLIDUS S/A CCVM,SOLIDUS,
127,TULLETT PREBON,TULLETT,
8,UBS BRASIL CCTVM S/A,UBS,
37,UM INVESTIMENTOS S.A. CTVM,UM INVESTIMENTOS,
29,UNILETRA CCTVM S.A.,UNILETRA,
21,VOTORANTIM ASSET MANAG. DTVM,VOTORANTIM,
