TICKET,CODIGO
ABEV,ABEV3
ALPA,ALPA4
ALSO,ALSO3
ARZZ,ARZZ3
ASAI,ASAI3
AZUL,AZUL4
B3SA,B3SA3
BBAS,BBAS3
BBDC,BBDC4
BBSE,BBSE3
BEEF,BEEF3
BHIA,BHIA3
BPAC,BPAC11
BPAN,BPAN4
BRAP,BRAP4
BRAV,BRAV3
BRFS,BRFS3
BRKM,BRKM5
CASH,CASH3
CCRO,CCRO3
CIEL,CIEL3
CMIG,CMIG4
CMIN,CMIN3
COGN,COGN3
CPFE,CPFE3
CPLE,CPLE6
CRFB,CRFB3
CSAN,CSAN3
CSNA,CSNA3
CVCB,CVCB3
CYRE,CYRE3
DXCO,DXCO3
ECOR,ECOR3
EGIE,EGIE3
ELET,ELET3
ELET,ELET6
EMBR,EMBR3
ENBR,ENBR3
ENEV,ENEV3
ENGI,ENGI11
EQTL,EQTL3
EZTC,EZTC3
FLRY,FLRY3
GFSA,GFSA3
GGBR,GGBR4
GOAU,GOAU4
GOLL,GOLL4
HAPV,HAPV3
HYPE,HYPE3
IGTI,IGTI11
IRBR,IRBR3
ITSA,ITSA4
ITUB,ITUB4
JBSS,JBSS3
KLBN,KLBN11
LREN,LREN3
LWSA,LWSA3
MGLU,MGLU3
MRFG,MRFG3
MRVE,MRVE3
MULT,MULT3
NTCO,NTCO3
PCAR,PCAR3
PETR,PETR3
PETR,PETR4
PETZ,PETZ3
PRIO,PRIO3
PSSA,PSSA3
QUAL,QUAL3
RADL,RADL3
RAIL,RAIL3
RAIZ,RAIZ4
RDOR,RDOR3
RENT,RENT3
RRRP,RRRP3
SANB,SANB11
SBSP,SBSP3
SLCE,SLCE3
SMTO,SMTO3
SOMA,SOMA3
SUZB,SUZB3
TAEE,TAEE11
TASA,TASA4
TIMS,TIMS3
TOTS,TOTS3
UGPA,UGPA3
USIM,USIM5
VALE,VALE3
VBBR,VBBR3
VIIA,BHIA3
VVAR,BHIA3
VIVT,VIVT3
WEGE,WEGE3
YDUQ,YDUQ3
